IDPlaça	NomPlaça	IDClassePlaça	IDEscala	IDSubEscala	IDClasse	IDCategoria	CategoriaLaboral	GrupClassificacio	IDTipusAcces	IDSistemaAcces	Pressupostat	Ofertable	OPO_Any	Amortitzar	PromocioInterna	DataCreacio	ExpedientCreacio	DataConvocatoria	DataSupressio	ExpedientSupressio	Observacions
286	Treballador/a familiar	2	0	0	0	0		C2	2	13	1	Verdadero	2008	Falso	Falso						
289	Tècnic/a de l'emissora	2	0	0	0	0		C2	2	13	1	Falso		Falso	Falso						A amortitzar quan es resolgui la promoció interna a plaça Tècni auxiliar C1.
300	Arquitecte-enginyer/a tècnic/a	1	3	301	30102	3010201		A2	2	13	1	Verdadero	2008	Falso	Falso	01/01/2006					
301	Administratiu/va	2	0	0	0	0		C1	2	13	1	Falso		Falso	Falso	01/01/2006					Plaça creada per a promoció interna a l'ASP. S'utilitza per la promoció interna a l'OMI, no es fa definir cap plaça de personal laboral i era necessari fins que no s'executi el procés de funcionarització. Caldrà laboralitzar plaça administratiu/va funcionari prevista a l'OMI.
302	Tècnic/a mitjà/ana de serveis personals	2	0	0	0	0		A2	2	13	0,75	Falso		Falso	Falso	01/03/2006					
303	Auxiliar administratiu/va	1	2	204	20400	2040000		C2	2	13	1	Falso		Verdadero	Falso	17/03/2006					A amortitzar quan es resolgui la promoció interna a plaça Administrativa.
304	Auxiliar administratiu/va	1	2	204	20400	2040000		C2	2	13	1	Verdadero	2008	Falso	Falso	17/03/2006					A amortitzar quan es resolgui la promoció interna a plaça Administrativa.
305	Auxiliar administratiu/va	1	2	204	20400	2040000		C2	2	13	1	Verdadero	2008	Falso	Falso	17/03/2006					
306	Tècnic/a de control i avaluació	1	3	301	30102	3010201		A2	1	13	1	Falso		Falso	Falso	17/03/2006					Ple juny 2025 es modifica aquesta plaça pel nou lloc creat 300002 tècnic/a de control i avaluació de l'activitat de l'ASP A amortitzar quan es resolgui la promoció interna a plaça Administrativa.
307	Subaltern/a	1	2	205	20500	2050000		E	2	13	1	Verdadero	2008	Falso	Falso	26/10/2006	Ple Pressupost 2007				01-01-2026 Modifiquem la plaça d'aux administratiu a subaltern A amortitzar quan es resolgui la promoció interna a plaça Administrativa.
308	Auxiliar administratiu/va	1	2	204	20400	2040000		C2	2	13	1	Verdadero	2008	Falso	Falso	26/10/2006	Ple Pressupost 2007				
309	Ajudant de serveis	2	0	0	0	0		C2	2	13	1	Falso		Falso	Falso	23/01/2007					
310	Tècnic/a de l'administració general	1	2	201	20100	2010000		A1	9	31	0	Falso		Falso	Falso	27/06/2007					
311	Administratiu/va	1	2	203	20300	2030000		C1	2	13	1	Verdadero	2008	Falso	Falso	01/01/2008					Creació per provisió per mobilitat horitzontal del lloc d'Administratiu gerència, i posterior generació de vacant imprescindible.
313	Auxiliar administratiu/va	1	2	204	20400	2040000		C2	1	13	1	Verdadero	2008	Falso	Falso	01/01/2008					Creació motivada per consolidar servei administratiu a Governació.
314	Tècnic/a mitjà/ana de gestió	1	2	202	20100	2010000		A2	1	13	1	Verdadero	2008	Falso	Falso	01/01/2008					Creació per nova configuració unitat administrativa governació
316	Diplomat/da en treball social	1	3	301	30102	3010201		A2	2	13	1	Verdadero	2008	Falso	Falso	01/01/2008					Creació per finalització darrera prórroga CS de Treballadora Social de DIBA.
318	Tècnic/a mitjà/na de gestió	1	3	301	30102	3010201		A2	1	13	1	Verdadero	2025	Falso	Falso	01/01/2008					09-04-24 era una pl.aux administratiu que es transforma amb tènica TAE A2 per lloc tècnic/a de salut A amortitzar quan es resolgui la promoció interna a plaça Administrativa.
319	Tècnic/a mitjà/ana de gestió	2	0	0	0	0		A2	2	13	1	Falso		Falso	Falso	01/01/2008					Creació per nova configuració Àrea DIPEL, àmbit mercat i per la finalització AODL sense prórroga Encarnación Lombardia.
320	Subaltern/a	2	0	0	0	0		E	2	13	1	Falso	2008	Falso	Falso	01/01/2008					Creació per posada en fucionament remodelació mercat amb més horari de servei.
321	Ajudant de serveis	1	3	302	30203	3020300		C2	2	13	1	Verdadero	2008	Falso	Falso	23/01/2007					
323	Tècnic/a mitjà/ana de gestió	1	3	301	30102	3010201		A2	2	13	0	Verdadero		Falso	Falso	03/04/2008					Titulacions: Diplomatura universitària de l'àrea econòmico-financera.
324	Administratiu/va	1	2	203	20300	2030000		C1	1	13	0	Verdadero	2008	Falso	Falso	03/04/2008					
325	Tècnic mitjà/na en gestió econòmica	1	3	301	30102	3010201		A2	2	13	0	Verdadero	2008	Falso	Falso	25/06/2008	Ple de juny				
327	Administratiu/va	1	2	203	20300	2030000		C1	1	13	0	Verdadero	2008	Falso	Falso	25/06/2008					Creació de la plaça per acord de promocions internes fruit de la VLT de 2007.
328	Administratiu/va	1	2	203	20300	2030000		C1	1	13	0	Verdadero	2008	Falso	Falso	25/06/2008					Creació de la plaça per acord de promocions internes fruit de la VLT de 2007.
329	Tècnic/a auxiliar d'emissora	2	0	0	0	0		C1	1	13	0	Verdadero	2008	Falso	Falso	25/06/2008					Creació de la plaça per acord de promocions internes fruit de la VLT de 2007.
330	Tècnic/a auxiliar d'emissora	2	0	0	0	0		C1	1	13	0	Verdadero	2008	Falso	Falso	25/06/2008					Creació de la plaça per acord de promocions internes fruit de la VLT de 2007.
331	Administratiu/va	1	2	203	20300	2030000		C1	1	13	0	Verdadero	0	Falso	Falso	31/12/2010					
332	Tècnic/a de l'administració general	1	2	201	20100	2010000		A1	1	13	0	Verdadero	2008	Falso	Falso	25/06/2008					
334	Arquitecte	1	3	301	30101	3010101		A1	1	13	1	Falso		Falso	Verdadero	01/01/2010					
335	Diplomat/da en educació infantil	1	3	301	30102	3010201		A2	1	13	0	Falso		Falso	Falso	01/01/2010					
336	Diplomat/da en treball social	1	3	301	30102	3010201		A2	1	13	1	Verdadero	2010	Falso	Falso	01/01/2010					
337	Tècnic/a mitjà/ana de serveis personals	2	0	0	0	0		A2	1	13	1	Verdadero	2010	Falso	Falso	01/01/2010					
338	Tècnic d'administració general	1	2	201	20100	2010000		A1	2	13	1	Verdadero		Falso	Falso	01/01/2011					01/01/2023 reclassificació de plaça de TAE a TAG
339	Tècnic/a auxiliar de gestió	2	0	0	0	0		C1	2	13	0	Verdadero		Falso	Falso	31/12/2010					Substitueix anterior plaça 0331 Administrativa funcionari per modificació organigrama Educació.
340	Administratiu/va	1	2	203	20300	2030000		C1	1	13	0	Verdadero	0	Falso	Falso	31/12/2010					
341	Administratiu/va	1	2	203	20300	2030000		C1	1	13	0	Verdadero	0	Falso	Falso	31/12/2010					
342	Administratiu/va	1	2	203	20300	2030000		C1	1	13	0	Verdadero	0	Falso	Falso	31/12/2010					
343	Administratiu/va	1	2	203	20300	2030000		C1	1	13	0	Verdadero	0	Falso	Falso	31/12/2010					
344	Administratiu/va	1	2	203	20300	2030000		C1	1	13	0	Verdadero	0	Falso	Falso	31/12/2010					
345	Administratiu/va	1	2	203	20300	2030000		C1	1	13	0	Verdadero	0	Falso	Falso	31/12/2010					
346	Administratiu/va	1	2	203	20300	2030000		C1	1	13	0	Verdadero	0	Falso	Falso	31/12/2010					
347	Administratiu/va	1	2	203	20300	2030000		C1	1	13	0	Verdadero	0	Falso	Falso	31/12/2010					
349	Administratiu/va	1	2	203	20300	2030000		C1	1	13	0	Verdadero	0	Falso	Falso	31/12/2010					
350	Administratiu/va	1	2	203	20300	2030000		C1	1	13	0	Verdadero	0	Falso	Falso	31/12/2010					
353	Operari/ària	2	0	0	0	0		E	2	12	1	Verdadero		Falso	Falso	01/10/2011					
354	Operari/ària	2	0	0	0	0		E	2	12	1	Verdadero		Falso	Falso	01/10/2011					
355	Tècnic/a de l'administració especial	1	3	301	30101	3010101		A1	9	31	0	Falso	0	Falso	Falso	07/07/2011					
356	Tècnic/a mitjà/ana de serveis personals	2	0	0	0	0		A2	1	13	0	Falso	0	Falso	Falso	01/01/2012					
357	Educador/a social	1	3	301	30102	3010201		A2	1	13	0	Falso	0	Falso	Falso	01/01/2012					
358	Educador/a social	1	3	301	30102	3010201		A2	1	13	0	Falso	0	Falso	Falso	01/01/2012					
359	Educador/a social	1	3	301	30102	3010201		A2	1	13	0	Falso	0	Falso	Falso	01/01/2012					
360	Tècnic/a de l'emissora	2	0	0	0	0		C2	2	13	0	Falso	0	Falso	Falso	01/01/2012					
362	Educador/a	2	0	0	0	0		C1	2	13	0	Falso	0	Falso	Falso	01/01/2012					
363	Tècnic/a mitjà/ana de gestió	1	3	301	30102	3010201		A2	1	13	0	Falso	0	Falso	Falso	01/01/2012					
364	Tècnic/a mitjà/ana de gestió	1	3	301	30102	3010201		A2	1	13	0	Falso		Falso	Falso	01/01/2012					
367	Tècnic/a de comunicació	1	3	301	30102	3010201		A2	2	13	0	Falso	0	Falso	Falso						
368	Agent	1	3	302	30201	3020108		C2	1	13	0	Falso	0	Falso	Falso						
369	Agent	1	3	302	30201	3020108		C2	1	13	0	Falso	0	Falso	Falso						
370	Tresorer/a	1	1	103	10300	1030000		A1	1	13	0	Falso	0	Falso	Falso	01/01/2013					
371	Subaltern/a	1	2	205	20500	2050000		E	2	13	1	Falso	0	Falso	Falso						
372	Subaltern/a	2	0	0	0	0		E	2	13	1	Falso	0	Falso	Falso						
373	Educador/a	2	0	0	0	0		C1	1	13	0	Falso	0	Falso	Falso	01/01/2014					
374	Auxiliar Tècnic/a	1	3	301	30103	3010302		C2	1	13	0	Verdadero	0	Falso	Falso	01/01/2015					Ple de març 2023 es requalifica plaça de L a F (2/2023/PLANT)
375	Subaltern/a	1	2	205	20500	2050000		E	1	13	1	Falso	0	Falso	Falso	01/01/2015					
376	Subaltern/a	1	2	205	20500	2050000		E	1	13	1	Falso	0	Falso	Falso						2023 es modifica plaça d'aux adm a subaltern per fer mobilitat
377	Tècnic/a informàtic/a	1	3	301	0	0		A1	1	13	1	Falso	0	Falso	Falso	27/09/2017					
378	Administratiu/va	1	2	203	20400	0		C2	1	13	0	Falso	0	Falso	Falso	27/09/2017					
379	Administratiu/va	1	2	203	20300	2030000		C1	1	13	0	Falso	0	Falso	Falso	27/09/2017					Pel 2023 es transforma d'auxiliar administratiu a administratiu
380	Administratiu/va	1	2	203	20400	0		C1	1	13	0	Falso	0	Falso	Falso	27/09/2017					
381	Tècnic/a auxiliar de biblioteca	2	0	0	0	0		C1	1	13	1	Falso	0	Falso	Falso	01/01/2019					01-01-2025 es modifica denominació d'Auxiliar tècnic/a de biblioteca a Tècnic/a auxiliar de biblioteca
382	Tècnic/a auxiliar de biblioteca	2	0	0	0	0		C1	1	13	0	Falso	0	Falso	Falso						01-01-2025 es modifica denominació d'Auxiliar tècnic/a de biblioteca a Tècnic/a auxiliar de biblioteca
383	Tècnic/a auxiliar de biblioteca	2	0	0	0	0		C1	1	13	0	Falso	0	Falso	Falso						01-01-2025 es modifica denominació d'Auxiliar tècnic/a de biblioteca a Tècnic/a auxiliar de biblioteca
384	Tècnic/a mitjà/ana de serveis personals	2	0	0	0	0		A2	1	13	1	Falso	0	Falso	Falso						
385	Tècnic/a mitjà/ana de gestió	1	2	202	20100	2010000		A2	1	13	1	Falso	0	Falso	Falso						01/01/2022 es modifica la plaça que passa a ser de TAG A1 a A2 amb denominació Tècnic/a mitjà/ana de gestió per poder permetre promoció interna des de C1
390	Diplomat/da en treball social	1	3	301	30102	3010201		A2	1	13	1	Verdadero	0	Falso	Falso	01/01/2019					
392	Assessor/a	3	0	0	0	0		A1	9	31	1	Falso	0	Falso	Falso	01/01/2020					
393	Diplomat/a en treball social	1	3	301	30102	3010201		A2	1	13	1	Verdadero	0	Falso	Falso	01/01/2022	Pressupost 2022				
394	Administratiu/va	1	2	203	20300	0		C1	1	13	1	Verdadero	0	Falso	Falso	01/01/2022	Pressupost 2022				plaça administrativa OME
395	Tècnic/a superior d'administració especial	1	3	302	30203	0		A1	1	13	1	Falso	0	Falso	Falso		01/01/2022				Plaça del tècnic de protecció civil
396	Tècnic/a mitjà/ana de gestió	1	2	202	20200	2020000		A2	1	13	1	Falso	0	Falso	Falso	01/01/2022					01-01-2025 es funcionaritza, de laboral a funcionari Nova plaça tècnic DEV per fer promoció interna
397	Tècnic/a de l'administració general	1	2	201	20100	2010000		A1	1	13	1	Falso		Falso	Falso	10/05/2022	1/2022/PLANT				10/05/2022 Creacio plaça pla estabilització per TAG contratació
398	Tècnic/a de Cultura	2	0	0	0	0		A2	1	13	1	Verdadero		Falso	Falso	10/05/2022	1/2022/PLANT				10/05/2022 Creació plaça pla estabilització
399	Professor/a SEFED	2	0	0	0	0		A1	1	13	1	Falso		Falso	Falso	10/05/2022	1/2022/PLANT				10/05/2022 Creació plaça pla estabilització
400	Monitor/a SEFED	2	0	0	0	0		A2	1	12	1	Verdadero		Falso	Falso	10/05/2022	1/2022/PLANT				10/05/2022 Creació plaça pla estabilització
401	Tècnic/a auxiliar d'arxiu	2	0	0	0	0		C1	1	12	1	Falso		Falso	Falso	10/05/2022	1/2022/PLANT				10/05/2022 Creació plaça pla estabilització
402	Tècnic/a desenvolupament econòmic local	2	0	0	0	0		A2	1	12	1	Falso		Falso	Falso	10/05/2022	1/2022/PLANT				10/05/2022 Creació plaça pla estabilització
403	Tècnic/a desenvolupament econòmic local	2	0	0	0	0		A2	1	12	1	Falso		Falso	Falso	10/05/2022	1/2022/PLANT				10/05/2022 Creació plaça pla estabilització
404	Tècnic/a desenvolupament econòmic local	2	0	0	0	0		A2	1	12	1	Falso		Falso	Falso	10/05/2022	1/2022/PLANT				10/05/2022 Creació plaça pla estabilització
405	Tècnic/a desenvolupament econòmic local	2	0	0	0	0		A2	1	12	1	Falso		Falso	Falso	10/05/2022	1/2022/PLANT				10/05/2022 Creació plaça pla estabilització
406	Agent d'ocupació	2	0	0	0	0		A2	1	12	1	Falso		Falso	Falso	10/05/2022	1/2022/PLANT				10/05/2022 Creació plaça pla estabilització
407	Monitor/a ESO SEFED	2	0	0	0	0		A2	1	12	1	Falso		Falso	Falso	10/05/2022	1/2022/PLANT				10/05/2022 Creació plaça pla estabilització
408	Monitor/a SEFED	2	0	0	0	0		A2	1	12	1	Verdadero		Falso	Falso	10/05/2022	1/2022/PLANT				10/05/2022 Creació plaça pla estabilització
409	Administratiu/va	1	2	203	20300	2030000		C1	1	13	0	Verdadero	0	Falso	Falso	27/09/2022	3/2022/PLANT				plaça creada després d'amortitzar plaça 78 administratiu laboral de l'Anna Campmajo
410	Administratiu/va	1	2	203	20300	2030000		C1	1	13	0	Falso	0	Falso	Verdadero	01/01/2025					Plaça creada per prom interna i eliminar assignacions funcions 01/12/2024
411	Administratiu/va	1	2	203	20300	2030000		C1	1	13	0	Falso	0	Falso	Verdadero	01/01/2025					Plaça creada per prom interna i eliminar assignacions funcions 01/12/2024
412	Administratiu/va	1	2	203	20300	2030000		C1	1	13	0	Falso	0	Falso	Verdadero	01/01/2025					Plaça creada per prom interna i eliminar assignacions funcions 01/12/2024
413	Administratiu/va	1	2	203	20300	2030000		C1	1	13	0	Falso	0	Falso	Verdadero	01/01/2025					Plaça creada per prom interna i eliminar assignacions funcions 01/12/2024
414	Administratiu/va	1	2	203	20300	2030000		C1	1	13	0	Falso	0	Falso	Verdadero	01/01/2025					Plaça creada per prom interna i eliminar assignacions funcions 01/12/2024
415	Administratiu/va	1	2	203	20300	2030000		C1	1	13	0	Falso	0	Falso	Verdadero	01/01/2025					Plaça creada per prom interna i eliminar assignacions funcions 01/12/2024
416	Administratiu/va	1	2	203	20300	2030000		C1	1	13	0	Falso	0	Falso	Verdadero	01/01/2025					Plaça creada per prom interna i eliminar assignacions funcions 01/12/2024
417	Tècnic/a mitjà/na de gestió	1	3	301	30102	3010201		A2	1	13	0	Falso	0	Falso	Verdadero	01/01/2025					01-01-2025 Plaça creada per prom interna tècnic/a esports des de C1
418	Tècnic/a mitjà/na de gestió	1	3	301	30102	3010201		A2	1	13	0	Falso	0	Falso	Verdadero	01/01/2025					01-01-2025 Plaça creada per prom interna tècnic/a esports des de C1
419	Tècnic/a mitjà/na de gestió	1	3	301	30102	3010201		A2	1	13	0	Falso	0	Falso	Verdadero	01/01/2025					01-01-2025 Plaça creada per prom interna tècnic/a esports des de C1
420	Tècnic/a d'Educació	1	3	301	30102	3010201		A2	1	13	1	Falso		Falso	Verdadero	01/01/2026					01/01/2026 creació plaça A2 per poder cobrir cap educació que és A1/A2.
421	Enginyer/a tècnic/a	1	3	301	30102	3010201		A2	2	13	1	Verdadero	2026	Falso	Falso	01/01/2026					Alta plaça 421 per ocupar lloc 434001 enginyer residus, neteja i cicle aigua
