IDPlaça	NomPlaça	IDClassePlaça	IDEscala	IDSubEscala	IDClasse	IDCategoria	CategoriaLaboral	GrupClassificacio	IDTipusAcces	IDSistemaAcces	Pressupostat	Ofertable	OPO_Any	Amortitzar	PromocioInterna	DataCreacio	ExpedientCreacio	DataConvocatoria	DataSupressio	ExpedientSupressio	Observacions
61	Agent	1	3	302	30201	3020108		C2	1	13	1	Verdadero	2008	Falso	Falso						
62	Agent	1	3	302	30201	3020108		C2	1	13	1	Falso		Falso	Falso						
63	Agent	1	3	302	30201	3020108		C2	1	13	1	Falso		Falso	Falso						
64	Agent	1	3	302	30201	3020108		C2	1	13	1	Falso		Falso	Falso						
65	Agent	1	3	302	30201	3020108		C2	1	13	1	Falso		Falso	Falso						
66	Agent	1	3	302	30201	3020108		C2	1	13	1	Falso		Falso	Falso						
67	Agent	1	3	302	30201	3020108		C2	1	13	1	Falso		Falso	Falso						
68	Inspector/a	1	3	302	30201	3020104		A2	1	13	1	Falso		Falso	Falso						
69	Agent	1	3	302	30201	3020108		C2	1	13	1	Verdadero	2010	Falso	Falso						
70	Sergent	1	3	302	30201	3020106		C1	1	13	1	Falso		Falso	Falso						
71	Tècnic/a de l'administració general	1	2	201	20100	2010000		A1	1	13	1	Falso		Falso	Falso						
72	Treballador/a familiar	2	0	0	0	0		C2	0	13	0	Falso	0	Falso	Falso						
73	Subaltern/a	1	2	205	20500	2050000		E	2	13	1	Falso	0	Falso	Falso						
74	Interventor/a	1	1	102	10200	1020002		A1	1	13	1	Falso		Falso	Falso						
75	Subaltern/a	2	0	0	0	0		E	1	13	1	Verdadero	2025	Falso	Falso						Es modifica la plaça era d'auxiliar administratiu/va peò es modifica a subaltern/a per contracte relleu Jordi Calpe
76	Administratiu/va	2	0	0	0	0		C1	1	13	1	Falso		Falso	Falso						
77	Auxiliar administratiu/va	1	2	204	20400	2040000		C2	1	13	1	Verdadero	2008	Falso	Falso						A amortitzar quan es resolgui la promoció interna a plaça Administrativa.
78	Administratiu/va	1	2	203	20300	2030000		C1	1	13	1	Falso		Falso	Falso						01-01-2025 funcionarització plaça
79	Tècnic/a mitjà/ana de serveis personals	2	0	0	0	0		A2	1	13	1	Verdadero	2008	Falso	Falso						
80	Diplomat/da administratiu/va	2	0	0	0	0		A2	1	13	1	Falso		Falso	Falso						
81	Agent	1	3	302	30201	3020108		C1	1	13	1	Falso		Falso	Falso						Pressupost 2026 es modifica plaça 81 d'aux administratiu laboral  a agent GU grup C1 per adscriura-la al lloc 2210.08. A amortitzar quan es resolgui la promoció interna a plaça Administrativa.
82	Tècnic/a auxiliar d'informàtic/a	2	0	0	0	0		C1	1	13	1	Falso		Falso	Falso						
83	Agent	1	3	302	30201	3020108		C1	1	13	1	Falso		Falso	Falso						Pressupost 2026 es modifica plaça 83 d'aux administratiu laboral  a agent GU grup C1 per adscriura-la al lloc 2210.08 A amortitzar quan es resolgui la promoció interna a plaça Administrativa.
84	Arquitecte-enginyer/a tècnic/a	1	3	301	30102	3010201		A2	1	13	1	Falso		Falso	Falso						Pressupost 2026 es modifica plaça 84 aux administratiu laboral a arquitecte tècnic funcionari (TAE) per preveure nova incorporació amb jubilació Anna Ribé
86	Administratiu/va	1	2	203	20300	2030000		C1	1	13	1	Falso		Falso	Falso						Pressupost 2026 es transforma plaça d'aux administrativa a administrativa que es reserva a persona discapacitada., adscrita al lloc 2056.09 especialista OAC A amortitzar quan es resolgui la promoció interna a plaça Administrativa.
87	Tècnic/a de l'emissora	2	0	0	0	0		C2	2	13	1	Falso		Falso	Falso						
88	Tècnic/a mitjà/ana de serveis personals	2	0	0	0	0		A2	1	13	1	Verdadero	2008	Falso	Falso						
89	Zelador/a d'obres	2	0	0	0	0		C1	1	13	1	Falso		Falso	Falso						
91	Tècnic/a mitjà/ana de serveis personals	2	0	0	0	0		A2	1	13	1	Falso		Falso	Falso						
92	Tècnic/a de l'emissora	2	0	0	0	0		C2	2	13	1	Falso		Falso	Falso						A amortitzar quan es resolgui la promoció interna a plaça Tècnic auxiliar C1.
93	Tècnic/a mitjà/ana de serveis personals	2	0	0	0	0		A2	1	13	1	Falso		Falso	Falso						- Reservada 00087 Expósito Mateo, Joaquim.
94	Arquitecte-enginyer/a tècnic/a	1	3	301	30102	3010201		A2	2	13	1	Verdadero	2008	Falso	Falso						
95	Animador/a sociocultural	2	0	0	0	0		C1	2	13	1	Verdadero	2008	Falso	Falso						
96	Tècnic/a de l'administració general	1	2	201	20100	2010000		A1	1	13	1	Falso		Falso	Falso						01/01/2022 Es modifica plaça que abans era un TAE A2 Diplomat/da en treball social i passa a ser A1 Tècnic/a de l'administració general
97	Ciències econòmiques	2	0	0	0	0		A1	1	13	1	Falso		Falso	Falso						
99	Administratiu/va	1	2	203	20300	2030000		C1	1	13	1	Verdadero	2008	Falso	Falso						
101	Educador/a social	1	3	301	30102	3010201		A2	1	13	1	Falso		Falso	Falso						01-01-2026 es modifica plaça aux administratiu laboral a plaça educador social funcionari i s'adscriu al lloc 414003 tècnic/a social habitatge A amortitzar quan es resolgui la promoció interna a plaça Administrativa.
102	Monitor/a d'esports	2	0	0	0	0		C1	1	13	1	Falso		Falso	Falso						
103	Tècnic/a mitjà/ana de gestió	1	2	202	20200	2020000		A2	1	13	1	Falso		Falso	Falso						Ple 26-05-2025 es modifica plaça d'auxiliar administratiu(C2) a tècnic administració general(A2)
105	Tècnic/a mitjà/ana de gestió	1	2	202	20200	2020000		A2	1	13	1	Falso		Falso	Falso						Es transforma plaça 105 aux administratiu laboral amb plaça tècnica A2 per tècnic/a governació
106	Tècnic/a d'administració especial	1	3	301	30101	3010101		A1	1	13	1	Falso		Falso	Falso						Pressupost 2024 es requalifica la plaça 106 d'auxiliar administratiu a Tècnic/a d'administració especial del grup A1
107	Agent	1	3	302	30201	3020108		C2	1	13	1	Falso		Falso	Falso						
108	Arquitecte-enginyer/a tècnic/a	2	0	0	0	0		A2	1	13	1	Falso		Falso	Falso						
109	Arquitecte-enginyer/a tècnic/a	1	3	301	30102	3010201		A2	2	13	1	Falso		Falso	Falso						
111	Metge/essa	2	0	0	0	0		A1	1	13	1	Falso		Falso	Falso						
112	Tècnic/a mitjà/ana de serveis personals	2	0	0	0	0		A2	1	13	1	Falso		Falso	Falso						
114	Treballador/a familiar	2	0	0	0	0		C2	1	13	1	Falso		Falso	Falso						
115	Treballador/a familiar	2	0	0	0	0		C2	1	13	1	Verdadero	2008	Falso	Falso						
116	Integrador/a social	1	3	301	30103	3010301		C1	1	13	1	Verdadero		Falso	Falso						P-2026 es modifica la plaça vacant que ocupava Imma Buscà de treballadora familiar(C2) a integradora social(C1)
117	Treballador/a familiar	2	0	0	0	0		C2	1	13	1	Verdadero	2008	Falso	Falso						
118	Treballador/a familiar	2	0	0	0	0		C2	1	13	1	Verdadero	2008	Falso	Falso						
119	Administratiu/va	1	2	203	20300	2030000		C1	1	13	1	Falso	0	Falso	Falso						Plaça recuperada estava com a Laboral i es transforma com a Funcionari
120	Subaltern/a	2	0	0	0	0		E	2	13	1	Falso	0	Falso	Falso						
121	Enginyer/a informàtic	1	3	301	30101	3010101		A1	1	12	1	Falso		Falso	Falso						
122	Tècnic/a de l'administració general	1	2	201	20100	2010000		A1	1	13	1	Falso		Falso	Falso						
123	Tècnic/a de l'administració general	1	2	201	20100	2010000		A1	1	13	1	Falso		Falso	Falso						Ple 26-09-2024 es modifica i passa a ser del subgrup A1 per ocupar lloc 1000.12 tècnic/a de transparència, govern obert i protecció de dades A amortitzar quan es resolgui la promoció interna a plaça Administrativa.
124	Subaltern/a	2	0	0	0	0		E	2	13	1	Falso		Falso	Falso						
125	Tècnic/a de l'administració general	1	2	201	20200	2020000		A1	1	13	1	Falso		Falso	Falso						01-01-2025 Funcionarització plaça 125 que ocupa lloc 5600.01 Cap PEC
126	Operari/ària	2	0	0	0	0		E	2	12	1	Verdadero	2010	Falso	Falso	29/03/2006					
127	Caporal	1	3	302	30201	3020107		C2	2	13	1	Falso		Falso	Falso						
128	Administratiu/va	2	0	0	0	0		C1	1	13	1	Falso		Falso	Falso						
129	Oficial de construcció	2	0	0	0	0		C2	1	12	1	Verdadero	2008	Falso	Falso						
130	Subaltern/a	2	0	0	0	0		E	2	13	1	Falso		Falso	Falso						
131	Caporal	1	3	302	30201	3020107		C2	2	13	1	Falso		Falso	Falso						
132	Tècnic/a mitjà/ana de gestió	1	2	202	20200	2020000		A2	1	13	1	Falso		Falso	Falso						26-05-2025 Modificació plaça ple 26/05/2025 da'ux adm a tècnic A2 A amortitzar quan es resolgui la promoció interna a plaça Administrativa.
133	Puericultor/a	2	0	0	0	0		C1	2	13	1	Verdadero	2008	Falso	Falso						
134	Subaltern/a	1	2	205	20500	2050000		E	2	13	1	Falso	0	Falso	Falso						
135	Tècnic/a mitjà/ana de gestió	1	3	301	30102	3010201		A2	1	13	1	Verdadero	2008	Falso	Falso						
136	Tècnic/a mitjà/ana de gestió	1	2	201	20100	2010000		A2	1	13	1	Falso		Falso	Falso						Plaça que ocupava Gemma Casanovas,era TAE i ara el 01/01/2024 es modifica a TAG
137	Encarregat/da d'obres	2	0	0	0	0		C2	1	13	1	Falso		Falso	Falso						
138	Subaltern/a	2	0	0	0	0		E	2	12	1	Falso		Falso	Falso						
139	Tècnic/a mitjà/ana de formació	1	3	302	30203	3020300		A2	1	13	1	Verdadero		Falso	Falso	10/10/2006					26/05/2025 Ple aprova la modificació d'aquesta plaça que passa d'aux adm (C2) a tècnica (A2)
