IDOrganic2	NomOrganic2	IDOrganic1
10	Alcaldia	1
20	Economia i Serveis Centrals	2
21	Serveis econòmics	2
22	Guàrdia Urbana i Governació	2
30	Serveis personals	3
31	Sociocultural	3
32	Sociosanitària	3
40	Medi Ambient i Territori	4
41	Planejament i gestió urbanística	4
42	Medi ambient	4
43	Via pública i manteniment	4
50	Desenvolupament Econòmic de la Vila	5
